list name,name,label::English,label::Español,image
session,site_visit,Farmland site visit,Visita  a un sitio,
session,land_listing,Farmland listing,Entrando un terreno para rentar,
session,exisiting_ranch,Description of an existing farm operation,Descripción de un rancho existante,
,,,,
,,,,
,,,,
,,,,
actor,has_land,Property owner of agricultural land,Dueño de Terreno,
actor,farmer_owns_land,Owner-operator: currently farming on property you own,Agricultor que también es deuño,
actor,currently_leasing,Farmer who rents land for their farm operation,Rentador de terrenos,
actor,land_seeking,Seeking land to lease or own for farming,Agricultor buscando para terrenos,
actor,ag_professional,"Non profit, government employee, or other actor in the food system, working on agricultural issues","Empleado ONG, o del gobiernio que trata con temas agrícolas",
data_collector_is,owns_farmland_will_enter,I'm entering data about land I own,Estoy entrando datos sobre un terreno lo que estoy un dueño,
data_collector_is,leasing_farmland_will_enter,I'm entering data about land that I am leasing,Estoy entrando datos sobre un terreno que cultivo,
data_collector_is,sitevisit,I'm doing a site visit on farmland ,Estoy buscando terrenos para rentar  y voy a pEstoy visitando un sitio donde hay terreno agrícola,
data_collector_is,land_listing,I'm entering a listing for agricultural land ,Estoy ingresando datos sobre una parcela para rentar,
,,,,
,,,,
actor2,property_owner,I own this property,soy dueño de la parcela,
actor2,leasor_of_property,I am leasing this property,Estoy rentando la parcela,
actor2,management_company,I represent a management company that operates on this property,Represento un companía de manejo que trabaja la parcela,
actor2,independent_of_ownership,"I don't own, lease, or manage this property, but I know enough about it to enter some information about it","No soy dueño, arrendar o administrar esta propiedad, pero sé lo suficiente sobre él para entrar en alguna información al respecto",
,,,,
actor3,farmer_seeking_land_to_rent,I am seeking land for rent,Estoy buscando terrenos a rentar,
actor3,farmer_seeking_land_to_buy,I am seeking land to buy,Estoy buscando terrenos a comprar,
actor3,non_owner_independently_collecting_data,"I am not seeking to farm land, but I am recording information about this parcel","No estoy buscando a tierras de cultivo, pero estoy grabando información sobre este paquet",
,,,,
commute,1,30 minutes or less,Menos que 30 minutos,
commute,2,30 minutes to 1 hour,30 minutos hasta una hora,
commute,3,1 hour to 2 hours,Una hora hasata 2 horas,
commute,4,3 hours to 4 hours,3 horas hasta 4 horas,
commute,5,More than 4 hours,Mas que 4 horas,
,,,,
counties,monterey,Monterey,Monterey,
counties,santa_cruz,Santa Cruz,Santa Cruz,
counties,san_benito,San Benito,San Benito,
,,,,
fallowtime,1,Less than 1 year,Menos que un año,
fallowtime,2,1 to 3 years,Entre 1 y 3 años,
fallowtime,3,Greater than 3 years,Más que 3 años,
,,,,
farmingpractices,organic,Certified Organic,"Organico, certificado",
farmingpractices,conventional,Conventional,Convencional,
farmingpractices,nospray,"Organic, but without certification","Organico, pero sin una certificación",
farmingpractices,mixed,"Some Organic, Some Conventional","Parte, Orgánico, parte convencional",
farmingpractices,transitioning,Transitioning to Organic,En transición a orgánico,
farmingpractices,livestock_only,Just Livestock,Solo ganado,
farmingpractices,fallow,Fallow,En barbecho,
farmingpractices,livestock_and_crops,"Some Livestock, Some Crops","Parte ganado, parte cultivos",
,,,,
,,,,
,,,,
gender,male,Male,Macho,
gender,female,Female,Hembra,
,,,,
infrastructure,housing,Housing,Casa,
infrastructure,greenhouse,GreenHouse,Invernadero,
infrastructure,garage,Garage,Garaje,
infrastructure,barn,Barn,Granero,
infrastructure,cooler,Cooler,Cooler,
,,,,
land_availability,whole_farm_available,The whole property is available,La parcela entera esta disponible,
land_availability,part_of_farm_available,Part of the property is available,Parte de la parcela esta disponible,
land_availability,no_land_availalble,The property isn't available,Ningun parte de la parcela esta disponible,
,,,,
landownerlocation,lives_on_property,The land owner lives on this property,El dueño vive en un acasa ubicado en la parcela,
landownerlocation,lives_elsewhere,The land owner lives somewhere else,El dueño vive en otro parte,
landownerlocation,unknown,I don't know if the land owner lives on site,No sé si el dueño vive en la parcela,
,,,,
landhistory,rowcrops,"Row crops, vegetables",verduras,
landhistory,strawberries,Strawberries,fresa,
landhistory,raspberries,Raspberries,mora,
landhistory,tomatoes,Tomatoes,jitomate,
landhistory,potatoes,Potatoes,papa,
landhistory,flowers,Flowers,flores,
landhistory,no_farming,No farming history,no había agricultura prevamente,
landhistory,unknown,Unknown,desconocido,
,,,,
leasetype,short_term,Short term lease,Contrato de corto plazo,
leasetype,long_term,Long term lease,Contrato de largo plazo,
leasetype,crop_share,Crop Share,Compartir de ingresos,
leasetype,partnership,Partnership,Socios,
leasetype,worktoown,Work to own,Trabaje a opcíon a compra ,
leasetype,farmmanage,Farm Manage,Manejo del rancho,
,,,,
,,,,
,,,,
,,,,
livestock,cows,Cows,Res,
livestock,chickens,Chickens,Gallinas,
livestock,goats,Goats,Cabras,
livestock,sheep,Sheep,Ovejas,
livestock,any,Any of the Above,Todos,
livestock,none,None,Ninguna,
,,,,
neighbors,farming,Farming,Agricultura,
neighbors,residential,Residential,Casas,
neighbors,commerical,Commercial,Commercial,
neighbors,public,Public,Público,
neighbors,habitat,Natural habitat,Terreno silvestre,
neighbors,unknown,Not Sure,No sé,
,,,,
neighborstatus,conventional,Conventional,Convencional,
neighborstatus,certified_organic,Certified organic,"Orgánico, certificado",
neighborstatus,fallow,Fallow,En barbecho,
neighborstatus,unknown,Not sure,No sé,
,,,,
qualscalesoil,Good,"Good, low disease, high nutrients",,
qualscalesoil,Medium,"Ok, some disease or nutrient problems",,
qualscalesoil,Poor,"Poor, need to actively manage diseasea and nutrients",,
,,,,
qualscaleweed,clean_cult,Clean cultivation,Cultivación limpio,
qualscaleweed,summer_fallow,Dry summer fallow,En barbecho durante el verano,
qualscaleweed,cover_cropping,Cover Cropping,Cultivos de cobertura,
qualscaleweed,invasives,Invasive present,Hay Invasivos,
qualscaleweed,unknown,Unknown,Desconocido,
,,,,
qualscalewaterinvestment,Low ,"Low Investment, infrastructure present ",Inversión minimo,
qualscalewaterinvestment,Medium,"Medium, some investment needed","Mediana, algunas inversiónes necesarias ",
qualscalewaterinvestment,High,"High, lots of investment needed","Alto, inversiones grandes necesarias",
,,,,
,,,,
,,,,
soiltype,sand,Very light (sand),Muy ligero (arena),
soiltype,sandyloam,Somewhat light (sandy loam),Ligero (sandy loam),
soiltype,loam,Medium (loam),Mediana (loam),
soiltype,calyloam,Somewhat heavy (clay loam),Pesado (clay loam),
soiltype,clay,Heavy (clay),Muy pesado (arcilla),
,,,,
waterinfrastructure,sprinklers,Sprinklers,Regadera,
waterinfrastructure,tape,Drip tape,Cinta,
waterinfrastructure,mainline,Mainline,Línea central ya instalada,
waterinfrastructure,investment_needed,Infrastructure needed,Falta de la infrastructura ,
,,,,
waterpermitstatus,Agriculture,Agriculture,Agricultura,
waterpermitstatus,Residential,Residential,Residencial,
waterpermitstatus,Unknown,Unknown,Desconocido,
,,,,
watersource,wellonsite,Well on site,Pozo en la propiedad,
watersource,welloffsite,Well off site,Pozo afuera de la propiedad,
watersource,countywater,County Water,Agua del condado,
watersource,residential,Residential,Agua solo para la casa,
watersource,unknown,Unknown,Desconocido,
,,,,
waterpayment,ownerpays,Owner pays ,Dueño paga,
waterpayment,farmerpays,Farmer pays ,Agricultor paga,
waterpayment,costshare,Shared costs,gastos compartidos,
,,,,
yes_no,yes,Yes,Sí,
yes_no,no,No,No,
,,,,
consent,consentgiven,"I accept, begin the survey","Estoy de acuerdo, empieza la encuesta",
consent,consentdeclined,I decline,No estoy de acuerdo,
